,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
0,0,41497,AAC DALBY CAMPUS,-27.1494,151.2894,Aug,1985,Sep,2012,26.8,98,N,QLD
1,1,33259,ABBOT POINT BULKCOAL,-19.8833,148.075,Jan,1991,Jun,1991,0.5,0,N,QLD
2,2,67114,ABBOTSBURY (FAIRFIELD (CITY FA,-33.8667,150.8611,Dec,2000,May,2024,23.1,98,N,NSW
3,3,40000,ABBOTSFORD,-27.95,153.1,Oct,1909,Jul,1974,64.4,99,N,QLD
4,4,86307,ABBOTSFORD,-37.8,145.0,May,1972,Sep,1972,0.4,99,N,VIC
5,5,66034,ABBOTSFORD (BLACKWALL POINT RD,-33.8507,151.1295,Jan,2004,Jun,2024,20.5,0,N,NSW
6,6,55230,ABBOTSLEA,-31.0667,150.05,Jun,1889,Oct,1926,36.4,97,N,NSW
7,7,7118,ABBOTTS,-26.4,118.4,Sep,1898,Dec,1913,15.3,0,N,WA
8,8,94263,ABELS BAY (SANDREEF ROAD),-43.2256,147.1019,Jul,2013,Jun,2024,10.9,99,N,TAS
9,9,39000,ABERCORN,-25.1333,151.1292,Apr,1950,Jun,2024,74.3,0,N,QLD
10,10,39319,ABERCORN TM,-25.1292,151.1306,Nov,2000,Jun,2024,23.5,99,N,QLD
11,11,63000,ABERCROMBIE (ABERCROMBIE BRIDG,-33.9541,149.3252,Jul,1931,Sep,2007,74.9,98,N,NSW
12,12,63296,ABERCROMBIE (ABERCROMBIE RIVER,-33.9547,149.3241,Dec,2000,Dec,2014,13.7,97,N,NSW
13,13,63257,ABERCROMBIE (THE JUNCTION),-33.9609,149.3184,Nov,2007,Aug,2016,8.7,98,N,NSW
14,14,63199,ABERCROMBIE CAVES,-33.9833,149.4167,Jan,1900,Mar,1927,27.2,0,N,NSW
15,15,41394,ABERDEEN,-28.0636,150.6236,Jan,1973,Dec,2000,28.0,0,N,QLD
16,16,61000,ABERDEEN (MAIN RD),-32.1655,150.8911,Jun,1894,May,2013,113.1,95,N,NSW
17,17,91313,ABERDEEN (MELROSE ROAD),-41.2478,146.3339,Jun,2000,Dec,2019,19.6,0,N,TAS
18,18,61065,ABERDEEN (ROSSGOLE),-32.1402,150.7285,Jan,1926,May,2024,98.3,0,N,NSW
19,19,85000,ABERFELDY,-37.7,146.3667,Apr,1891,Dec,1983,76.6,83,N,VIC
20,20,85278,ABERFELDY (LILY CREEK  (LAROMM,-37.7196,146.3888,Jan,1983,Jul,2015,32.5,0,N,VIC
21,21,57000,ABERFOYLE,-30.2667,152.0167,Sep,1885,Dec,1970,77.3,91,N,NSW
22,22,36085,ABERFOYLE,-21.6678,145.2689,Jan,1892,Mar,2009,35.1,30,N,QLD
23,23,57101,ABERFOYLE (BAMBI),-30.2667,152.0333,Jan,1971,May,1973,2.4,0,N,NSW
24,24,32174,ABERGOWRIE ALERT,-18.4889,145.9364,Nov,2000,Jun,2024,23.2,98,N,QLD
25,25,32086,ABERGOWRIE BRIDGE,-18.5225,146.0019,Jan,1960,Oct,2003,30.3,69,N,QLD
26,26,32052,ABERGOWRIE POST OFFICE,-18.4833,145.8833,May,1954,Mar,1975,20.8,99,N,QLD
27,27,32123,ABERGOWRIE ZATTA,-18.4333,145.8333,Jan,1975,Mar,1975,0.3,0,N,QLD
28,28,10258,ABERVON,-30.7833,117.9833,May,1968,Aug,1973,5.2,97,N,WA
29,29,30000,ABINGDON DOWNS STATION,-17.6083,143.1792,Jan,1945,Nov,2022,74.9,96,N,QLD
30,30,56183,ABINGTON (GLANMIRE),-30.3167,151.2,Jan,1960,Oct,1974,13.7,92,N,NSW
31,31,17000,ABMINGA RAILWAY SIDING,-26.1317,134.8517,Jan,1939,Oct,1980,40.9,98,N,SA
32,32,35198,ABOR DOWNS,-22.75,148.0,Jan,1914,Sep,1959,45.8,0,N,QLD
33,33,4000,ABYDOS,-21.4167,118.9333,Jul,1917,Dec,1974,51.5,90,N,WA
34,34,4045,ABYDOS WOODSTOCK,-21.62,118.955,Jan,1901,Sep,1997,69.8,72,N,WA
35,35,14295,ACACIA (MOCATTO ROAD),-12.7592,131.1507,Jan,1994,Dec,2017,23.8,99,N,NT
36,36,36060,ACACIA DOWNS,-22.8333,144.7333,Oct,1908,Dec,1937,28.7,98,N,QLD
37,37,14244,ACACIA HILLS,-12.7641,131.1598,Dec,1989,Sep,2013,17.6,74,N,NT
38,38,57031,ACACIA PLATEAU (BELMONT),-28.35,152.4333,Jun,1954,Apr,1970,15.9,0,N,NSW
39,39,40527,ACACIA RIDGE BCC,-27.6167,153.0433,Nov,1974,Sep,1991,16.9,0,N,QLD
40,40,40001,ACACIA VALE,-26.0167,152.4167,Nov,1915,Feb,1954,38.3,0,N,QLD
41,41,33092,ACACIA VALE GARDENS,-21.3,149.2,Dec,1898,Jan,1919,16.3,81,N,QLD
42,42,88119,ACHERON RIVER @ TAGGERTY,-37.3167,145.7167,Mar,1974,Jun,2024,27.8,55,N,VIC
43,43,40499,ACHIL BOONDOOMA,-26.2239,151.2986,Jan,1975,Apr,2002,27.3,0,N,QLD
44,44,41000,ACLAND POST OFFICE,-27.3033,151.69,Sep,1912,Sep,1992,77.4,97,N,QLD
45,45,30100,ACTION DOWNS STATION,-20.5167,143.2833,Jan,1923,Dec,1975,52.0,98,N,QLD
46,46,9971,ACTON PARK,-33.7845,115.4072,Nov,2000,Jun,2024,23.6,0,N,WA
