,ID,P90
0,41497,28.2
1,67114,27.0
2,40000,30.7
3,66034,30.0
4,94263,13.879999999999995
5,39000,31.28000000000002
6,39319,31.0
7,63000,22.0
8,63296,19.2
9,41394,27.560000000000034
10,61000,25.0
11,91313,22.31999999999998
12,61065,25.4
13,85000,19.3
14,85278,18.0
15,57000,28.24000000000001
16,36085,40.0
17,32174,37.0
18,32086,39.08000000000002
19,32052,41.06000000000002
20,30000,46.34000000000005
21,56183,27.4
22,17000,23.71999999999999
23,4000,35.24000000000002
24,4045,37.0
25,14295,44.14000000000006
26,14244,50.0
27,57031,26.7
28,40527,29.2
29,88119,19.4
30,40499,29.88000000000002
31,41000,30.2
32,30100,39.23000000000001
33,9971,20.299999999999997
34,71040,24.0
35,71000,18.0
36,31162,38.6
37,45043,31.360000000000014
38,45000,28.2
39,89106,16.8
40,23001,14.0
41,23075,15.5
42,23093,16.4
43,23079,12.590000000000009
44,23005,17.440000000000055
45,23014,16.0
46,23096,14.8
47,23090,15.0
48,23115,13.2
49,23064,13.039999999999997
50,23072,19.8
51,23732,15.6
52,23098,16.8
53,23057,13.2
54,23037,13.4
55,23026,14.7
56,23016,13.2
57,23023,15.0
58,23024,13.2
59,23121,14.94000000000001
60,23748,19.0
61,23027,15.44000000000001
62,23018,13.039999999999964
63,23033,13.3
64,23040,15.2
65,23029,16.3
66,23031,15.0
67,23000,13.2
68,23828,17.35999999999999
69,23034,12.2
70,23055,12.4
71,23035,14.320000000000027
72,33000,38.6
73,14184,40.08000000000002
74,14092,43.88000000000011
75,14000,43.4
76,72083,25.4
77,72159,23.5
78,72000,23.0
79,9804,17.2
80,94159,33.4
81,94236,17.8
82,58066,32.3
83,30001,34.95
84,30104,36.779999999999994
85,85001,17.5
86,12000,17.41
87,15543,32.0
88,70000,21.0
89,40881,35.0
90,90180,14.0
91,43023,31.0
92,8000,18.2
93,10898,16.0
94,41332,31.2
95,34060,36.6
96,25000,13.7
97,25018,14.0
98,9500,16.3
99,9999,17.0
100,9741,15.0
101,17001,23.6
102,17002,24.55
103,50033,21.1
104,85003,15.5
105,36001,34.2
106,35209,40.0
107,12001,18.2
108,37102,40.6
109,68241,31.519999999999982
110,68000,37.8
111,36083,38.91999999999998
112,72001,19.8
113,44079,30.0
114,72146,20.2
115,72160,21.0
116,72097,19.2
117,14509,43.0
118,15593,30.0
119,40224,33.5
120,37109,30.9
121,10500,15.7
122,10501,16.5
123,9556,16.6
124,23817,23.0
125,23700,15.2
126,44192,32.18000000000004
127,50117,25.21999999999998
128,65100,21.4
129,50121,20.6
130,50115,24.0
131,50116,22.4
