Day,Date,Bins,N11,N10,gamma
0,1944-05-18,5,6.0,0.0,0.0
0,1944-05-18,15,5.0,0.0,0.0
0,1944-05-18,25,6.0,0.0,0.0
0,1944-05-18,35,6.0,2.0,0.125
0,1944-05-18,45,5.0,0.0,0.0
0,1944-05-18,55,1.0,1.0,0.25
0,1944-05-18,65,5.0,2.0,0.14285714285714285
0,1944-05-18,75,6.0,1.0,0.07142857142857142
0,1944-05-18,85,7.0,2.0,0.1111111111111111
0,1944-05-18,95,7.0,2.0,0.1111111111111111
0,1944-05-18,105,7.0,2.0,0.1111111111111111
0,1944-05-18,115,6.0,0.0,0.0
0,1944-05-18,125,10.0,4.0,0.14285714285714285
0,1944-05-18,135,15.0,3.0,0.08333333333333333
0,1944-05-18,145,12.0,7.0,0.18421052631578946
0,1944-05-18,155,11.0,5.0,0.15625
0,1944-05-18,165,12.0,5.0,0.14705882352941177
0,1944-05-18,175,14.0,4.0,0.1111111111111111
0,1944-05-18,185,17.0,5.0,0.11363636363636363
0,1944-05-18,195,10.0,8.0,0.2222222222222222
0,1944-05-18,205,12.0,7.0,0.18421052631578946
0,1944-05-18,215,20.0,10.0,0.16666666666666666
0,1944-05-18,225,10.0,15.0,0.3
0,1944-05-18,235,11.0,10.0,0.23809523809523808
0,1944-05-18,245,12.0,7.0,0.18421052631578946
0,1944-05-18,255,9.0,6.0,0.2
0,1944-05-18,265,10.0,5.0,0.16666666666666666
0,1944-05-18,275,12.0,11.0,0.2391304347826087
0,1944-05-18,285,11.0,3.0,0.10714285714285714
0,1944-05-18,295,12.0,5.0,0.14705882352941177
0,1944-05-18,305,4.0,4.0,0.25
0,1944-05-18,315,5.0,7.0,0.2916666666666667
0,1944-05-18,325,6.0,5.0,0.22727272727272727
0,1944-05-18,335,6.0,4.0,0.2
0,1944-05-18,345,2.0,2.0,0.25
0,1944-05-18,355,0.0,0.0,
1,1944-05-24,5,2.0,4.0,0.0
1,1944-05-24,15,2.0,3.0,0.3
1,1944-05-24,25,3.0,3.0,0.25
1,1944-05-24,35,3.0,5.0,0.3125
1,1944-05-24,45,1.0,4.0,0.4
1,1944-05-24,55,1.0,1.0,0.25
1,1944-05-24,65,3.0,4.0,0.2857142857142857
1,1944-05-24,75,2.0,5.0,0.35714285714285715
1,1944-05-24,85,3.0,6.0,0.3333333333333333
1,1944-05-24,95,6.0,3.0,0.16666666666666666
1,1944-05-24,105,4.0,5.0,0.2777777777777778
1,1944-05-24,115,2.0,4.0,0.3333333333333333
1,1944-05-24,125,2.0,12.0,0.42857142857142855
1,1944-05-24,135,6.0,12.0,0.3333333333333333
1,1944-05-24,145,9.0,10.0,0.2631578947368421
1,1944-05-24,155,6.0,10.0,0.3125
1,1944-05-24,165,6.0,11.0,0.3235294117647059
1,1944-05-24,175,4.0,14.0,0.3888888888888889
1,1944-05-24,185,14.0,8.0,0.18181818181818182
1,1944-05-24,195,10.0,8.0,0.2222222222222222
1,1944-05-24,205,8.0,11.0,0.2894736842105263
1,1944-05-24,215,15.0,15.0,0.25
1,1944-05-24,225,11.0,14.0,0.28
1,1944-05-24,235,7.0,14.0,0.3333333333333333
1,1944-05-24,245,5.0,14.0,0.3684210526315789
1,1944-05-24,255,4.0,11.0,0.36666666666666664
1,1944-05-24,265,6.0,9.0,0.3
1,1944-05-24,275,6.0,17.0,0.3695652173913043
1,1944-05-24,285,2.0,12.0,0.42857142857142855
1,1944-05-24,295,3.0,14.0,0.4117647058823529
1,1944-05-24,305,0.0,8.0,0.5
1,1944-05-24,315,0.0,12.0,0.5
1,1944-05-24,325,0.0,11.0,0.5
1,1944-05-24,335,1.0,9.0,0.45
1,1944-05-24,345,0.0,4.0,0.5
1,1944-05-24,355,0.0,0.0,
2,1944-07-02,5,5.0,2.0,0.0
2,1944-07-02,15,4.0,1.0,0.1
2,1944-07-02,25,4.0,2.0,0.16666666666666666
2,1944-07-02,35,4.0,3.0,0.21428571428571427
2,1944-07-02,45,4.0,1.0,0.1
2,1944-07-02,55,0.0,2.0,0.5
2,1944-07-02,65,2.0,5.0,0.35714285714285715
2,1944-07-02,75,3.0,4.0,0.2857142857142857
2,1944-07-02,85,3.0,5.0,0.3125
2,1944-07-02,95,4.0,5.0,0.2777777777777778
2,1944-07-02,105,6.0,3.0,0.16666666666666666
2,1944-07-02,115,2.0,4.0,0.3333333333333333
2,1944-07-02,125,5.0,9.0,0.32142857142857145
2,1944-07-02,135,7.0,11.0,0.3055555555555556
2,1944-07-02,145,7.0,12.0,0.3157894736842105
2,1944-07-02,155,4.0,12.0,0.375
2,1944-07-02,165,2.0,15.0,0.4411764705882353
2,1944-07-02,175,3.0,15.0,0.4166666666666667
2,1944-07-02,185,9.0,13.0,0.29545454545454547
2,1944-07-02,195,8.0,10.0,0.2777777777777778
2,1944-07-02,205,6.0,11.0,0.3235294117647059
2,1944-07-02,215,7.0,23.0,0.38333333333333336
2,1944-07-02,225,12.0,13.0,0.26
2,1944-07-02,235,7.0,13.0,0.325
2,1944-07-02,245,7.0,11.0,0.3055555555555556
2,1944-07-02,255,5.0,11.0,0.34375
2,1944-07-02,265,7.0,8.0,0.26666666666666666
2,1944-07-02,275,10.0,13.0,0.2826086956521739
2,1944-07-02,285,8.0,7.0,0.23333333333333334
2,1944-07-02,295,12.0,5.0,0.14705882352941177
2,1944-07-02,305,2.0,6.0,0.375
2,1944-07-02,315,4.0,7.0,0.3181818181818182
2,1944-07-02,325,4.0,7.0,0.3181818181818182
2,1944-07-02,335,5.0,5.0,0.25
2,1944-07-02,345,3.0,1.0,0.125
2,1944-07-02,355,0.0,0.0,
3,1944-07-08,5,6.0,1.0,0.0
3,1944-07-08,15,4.0,1.0,0.1
3,1944-07-08,25,3.0,3.0,0.25
3,1944-07-08,35,6.0,2.0,0.125
3,1944-07-08,45,3.0,2.0,0.2
3,1944-07-08,55,0.0,2.0,0.5
